i,x,typ
102,0.00401268,2
102,0.00565774,2
102,0.00326565,2
102,0.0267191,2
102,0.00128091,2
102,0.00291344,1
103,0.903506,1
103,0.0172114,1
104,0.867649,1
104,0.0385045,2
104,0.00222099,2
104,0.0168639,2
104,0.00164618,2
105,0.510854,1
105,0.431558,2
105,0.00290039,2
105,0.00157176,2
105,0.00115177,1
105,0.00307409,-1
105,0.00127632,1
106,0.877195,1
106,0.0109808,2
106,0.0213406,2
107,0.233369,1
107,0.0174325,2
107,0.617278,2
107,0.0229541,2
107,0.0027446,2
107,0.0304668,2
107,0.00681154,2
107,0.00418909,1
107,0.00724067,2
107,0.00644741,2
108,0.964522,1
108,0.0119118,2
108,0.00148601,-1
109,0.693978,1
109,0.109003,2
109,0.0184561,2
109,0.00451884,2
109,0.0130369,2
109,0.00265737,2
109,0.00271661,2
109,0.00100342,2
109,0.00387351,1
110,0.867164,1
110,0.0865476,2
110,0.00996057,2
110,0.00178819,2
111,0.345183,2
111,0.44996,2
111,0.101332,1
111,0.0013396,2
111,0.0163565,2
111,0.00192594,-1
111,0.00684018,2
111,0.00344006,2
111,0.00165046,1
111,0.00162641,-1
111,0.00166198,2
112,0.953007,1
112,0.00798678,2
112,0.00100861,1
112,0.00164352,2
113,0.852776,1
113,0.00114164,2
113,0.0162792,-1
113,0.0247325,2
113,0.00938223,2
113,0.00226837,2
113,0.00664582,1
113,0.00127981,1
113,0.00256157,2
114,0.956683,1
114,0.0026476,2
115,0.846704,1
115,0.076863,2
115,0.00124959,2
115,0.00201054,2
116,0.833787,1
116,0.0481055,2
116,0.0129591,2
116,0.0024187,2
116,0.00621321,2
117,0.349798,1
117,0.0497764,2
117,0.304016,2
117,0.107937,2
117,0.00655697,-1
117,0.00283094,2
117,0.00156914,2
117,0.00217145,2
117,0.00112819,2
118,0.704588,1
118,0.112772,2
118,0.0796535,2
118,0.0109951,1
118,0.00701551,2
119,0.200963,1
119,0.399385,2
119,0.0832276,2
119,0.0772055,2
119,0.00182191,1
119,0.0055542,2
119,0.00994589,2
119,0.00293491,1
119,0.00423838,2
119,0.00353938,2
119,0.0116625,2
119,0.00100413,1
119,0.00362721,-1
119,0.00193773,2
119,0.00456957,2
119,0.00569196,2
119,0.00132025,1
120,0.574881,1
120,0.047161,2
120,0.0113897,2
120,0.0108184,2
120,0.00212635,2
120,0.0429847,2
120,0.00114566,2
120,0.0705824,2
120,0.00195774,2
120,0.0172757,2
120,0.00740378,1
120,0.00858594,-1
120,0.00570376,2
120,0.00248081,2
120,0.0188372,2
120,0.00910407,-1
120,0.00735146,2
120,0.00152889,2
120,0.00279949,2
120,0.00156443,2
121,0.924246,1
121,0.00482285,2
121,0.00175609,1
121,0.0117713,2
121,0.00303972,2
121,0.00317911,2
121,0.00575444,2
122,0.611615,1
122,0.349935,2
122,0.00191377,-1
123,0.890358,1
123,0.00198166,2
123,0.00191881,2
123,0.0158514,2
123,0.012515,2
123,0.0239309,2
123,0.00369504,2
124,0.965465,1
124,0.00691883,2
124,0.0010529,2
125,0.89078,1
125,0.00367093,2
125,0.00207623,2
126,0.552419,1
126,0.138921,2
126,0.0268925,2
126,0.00234571,2
126,0.0613836,2
126,0.00222221,2
126,0.00688514,2
126,0.00109992,2
126,0.00275925,2
126,0.00145617,2
126,0.00206381,2
126,0.00857723,2
126,0.0057522,1
126,0.00146075,2
126,0.00111539,2
126,0.00238371,-1
126,0.00124742,2
126,0.00162599,2
126,0.00344155,2
126,0.00287999,2
126,0.00346182,2
126,0.00214908,2
127,0.94839,1
127,0.00168486,2
128,0.929549,1
128,0.00407127,1
128,0.00414369,2
128,0.00146134,1
128,0.00109104,2
129,0.92031,1
129,0.0299679,2
129,0.00578268,2
129,0.00645513,2
130,0.892665,1
130,0.00717527,2
130,0.00109294,2
130,0.005507,2
130,0.0030371,1
130,0.00233886,2
131,0.941324,1
132,0.884748,1
132,0.00115569,2
132,0.00104169,1
132,0.0279047,2
132,0.00901052,2
132,0.00284394,-1
132,0.0168777,2
132,0.00122143,2
132,0.00885333,2
133,0.935266,1
133,0.00389124,2
133,0.012752,1
134,0.737488,2
134,0.0986978,1
134,0.00499573,2
134,0.00925612,1
134,0.00104653,2
134,0.0168647,2
134,0.0582868,2
134,0.0012238,2
134,0.00978966,2
134,0.00127442,2
134,0.00117633,2
134,0.00159119,2
134,0.0115009,2
134,0.00124681,2
134,0.00103364,-1
135,0.919046,1
135,0.00425736,2
135,0.00155475,2
135,0.0024593,2
135,0.00751345,1
135,0.0020629,2
135,0.00578381,2
135,0.00201198,2
136,0.947427,1
136,0.0104085,2
136,0.00137814,2
136,0.00535075,2
137,0.895835,1
137,0.0280032,2
137,0.0032051,-1
137,0.00364736,1
137,0.00826641,2
138,0.73207,1
138,0.00278423,2
138,0.0762969,2
138,0.119748,2
138,0.00457809,2
138,0.0238859,2
138,0.00151823,2
139,0.96739,1
140,0.750156,1
140,0.042511,1
140,0.00584227,2
140,0.00697249,-1
140,0.0373062,2
140,0.0190905,2
140,0.026477,2
140,0.00491536,-1
140,0.00203638,2
140,0.00127274,1
140,0.00615239,-1
140,0.00262544,2
140,0.00388455,2
140,0.00164478,2
140,0.00482056,2
140,0.00228906,2
140,0.00121228,2
141,0.214461,1
141,0.569915,2
141,0.00110265,2
141,0.00148386,2
141,0.00158661,2
141,0.0168925,2
141,0.0109557,2
141,0.0139347,2
141,0.00531968,2
141,0.00251186,2
141,0.00121244,2
141,0.00314096,1
141,0.00124679,2
141,0.00243891,1
142,0.974759,1
143,0.917937,1
143,0.00298598,2
143,0.00167331,2
144,0.818317,1
144,0.00297021,2
144,0.00703734,2
144,0.0474382,-1
144,0.0136692,1
144,0.00183929,2
144,0.00173775,2
144,0.00144066,2
145,0.896283,1
145,0.0021486,2
145,0.00277422,1
146,0.969086,1
146,0.00279965,2
146,0.00102407,2
146,0.0025968,2
147,0.85682,1
147,0.01577,2
147,0.002242,2
147,0.0385143,2
147,0.00670167,2
147,0.00167677,-1
147,0.00623755,2
148,0.50924,1
148,0.345902,2
148,0.00814431,-1
148,0.0113604,1
148,0.00106998,2
148,0.00567668,2
148,0.00461224,2
148,0.0193785,2
148,0.00223739,2
148,0.00438133,2
148,0.0020791,2
149,0.31371,1
149,0.0047009,2
149,0.370952,2
149,0.00316725,2
149,0.00216629,2
149,0.0019938,2
149,0.0212717,2
149,0.00804226,2
149,0.00290345,2
149,0.00273773,2
149,0.00142859,2
149,0.00761938,-1
149,0.00140737,2
149,0.0111351,2
149,0.00184091,2
149,0.00146018,2
149,0.00736079,2
149,0.00128437,-1
150,0.910482,1
150,0.0561763,2
150,0.00102487,2
150,0.00121783,2
151,0.808117,1
151,0.0318535,2
151,0.00571465,2
151,0.00117702,2
151,0.00406449,2
151,0.0309981,2
151,0.00262772,2
151,0.00377959,2
151,0.00154601,2
151,0.00130844,2
152,0.983821,1
152,0.00109725,2
153,0.928709,1
153,0.0484295,1
153,0.00457733,-1
153,0.00104771,2
154,0.985685,1
154,0.002498,2
155,0.990531,1
156,0.542891,1
156,0.224448,2
156,0.00761904,2
156,0.0855481,2
156,0.00770232,2
156,0.0201412,2
156,0.00695199,2
156,0.00262016,2
156,0.00430641,2
156,0.00361686,2
156,0.00258282,2
157,0.166503,1
157,0.635072,2
157,0.0244486,1
157,0.00843332,-1
157,0.0302791,2
157,0.0072941,2
157,0.00126328,1
157,0.00193789,1
157,0.00309651,2
157,0.00112615,2
157,0.001069,2
157,0.00335694,2
157,0.00350731,1
157,0.00109988,2
157,0.00167711,-1
158,0.916846,1
158,0.0244304,2
158,0.00191383,2
158,0.00129999,-1
158,0.00140696,2
158,0.00171746,2
158,0.00450708,1
159,0.753323,1
159,0.0170609,2
159,0.00114871,1
159,0.00455913,2
159,0.00283536,1
159,0.0549899,2
159,0.0033676,-1
159,0.00579098,2
159,0.0218,2
159,0.00372601,2
159,0.0022445,2
159,0.00209124,1
159,0.0017086,2
159,0.0014382,1
159,0.00142355,2
160,0.829037,1
160,0.00643659,2
160,0.0138963,-1
160,0.00233339,1
160,0.00719091,2
161,0.853884,1
161,0.0936222,2
161,0.00295909,2
161,0.00123407,2
161,0.00156182,1
162,0.842734,1
162,0.0029846,2
162,0.0324398,-1
163,0.891873,1
163,0.0347896,2
163,0.00315722,2
163,0.0011086,2
163,0.00485211,-1
163,0.00312762,1
163,0.00164947,2
164,0.753592,1
164,0.150991,2
164,0.00668612,2
164,0.00280733,2
164,0.00965706,2
164,0.00402702,2
164,0.00440135,2
164,0.00226603,2
165,0.642006,1
165,0.0463582,-1
165,0.0323716,1
165,0.00168216,2
165,0.00386319,2
165,0.00499021,-1
165,0.00215435,2
165,0.0165931,2
165,0.0070503,2
165,0.0108033,2
165,0.00102308,-1
165,0.0018855,2
165,0.00684523,2
165,0.00328183,2
165,0.00312692,2
165,0.00203509,2
165,0.00193142,2
165,0.00104278,2
165,0.00112717,2
165,0.00149765,2
166,0.80046,1
166,0.0463626,2
166,0.001189,2
166,0.0011919,2
166,0.00306905,-1
166,0.00263338,2
166,0.0061527,2
166,0.00102306,2
166,0.0123515,2
166,0.00193048,2
166,0.00238679,2
166,0.00121702,2
166,0.00569676,2
167,0.917708,1
167,0.0036049,2
167,0.00157292,2
168,0.815488,1
168,0.00351229,2
168,0.00403617,2
168,0.00708926,2
168,0.0112465,2
168,0.00183547,1
168,0.00220971,1
168,0.00113063,2
168,0.00451042,-1
168,0.00135701,1
169,0.937769,1
169,0.0095675,2
169,0.00183464,1
169,0.00119846,1
170,0.939685,1
170,0.0029935,2
171,0.941932,1
172,0.8879,1
172,0.015237,2
172,0.0358382,2
172,0.00848187,2
172,0.00366914,2
172,0.00167264,2
173,0.833514,1
173,0.0111207,2
173,0.00154675,2
173,0.0119318,-1
173,0.0236573,2
173,0.00108368,2
173,0.0035537,-1
173,0.0012518,2
173,0.00100371,2
173,0.00257395,2
174,0.92432,1
174,0.00418166,2
174,0.0103303,2
174,0.0203378,2
175,0.623754,1
175,0.138369,2
175,0.122783,2
175,0.00350213,-1
176,0.982061,1
177,0.494054,1
177,0.0107806,2
177,0.0544028,2
177,0.0523387,2
177,0.0523766,-1
177,0.00151381,2
177,0.0017019,2
177,0.00279649,2
177,0.00170581,2
177,0.0552691,2
177,0.00175724,2
177,0.00243032,2
177,0.00183836,2
177,0.00707145,2
177,0.00565551,2
177,0.00183945,2
177,0.00244547,2
177,0.00114204,2
177,0.00673821,2
177,0.00287078,2
177,0.00372216,2
177,0.00313485,2
177,0.00692563,2
177,0.00805054,2
177,0.00276587,2
177,0.00119075,2
177,0.00346765,-1
178,0.921227,1
178,0.0331024,2
178,0.00667028,2
178,0.00479382,2
179,0.816519,1
179,0.106228,-1
179,0.00723932,1
179,0.00276568,2
179,0.0045007,1
180,0.877697,1
180,0.00432401,2
180,0.0140526,2
180,0.0402982,1
180,0.00738094,-1
180,0.00171381,2
180,0.00936944,2
180,0.00105773,2
181,0.915512,1
181,0.00176401,2
181,0.013989,2
181,0.00269464,2
182,0.814833,1
182,0.00126068,2
182,0.0010323,2
182,0.036865,2
182,0.00248413,2
182,0.0334654,2
182,0.00755924,2
182,0.00212528,2
182,0.00175473,2
182,0.00160984,2
182,0.00214453,2
182,0.00106233,2
183,0.972261,1
184,0.95419,1
185,0.881189,1
185,0.0205886,2
185,0.0225042,2
185,0.0163406,2
185,0.00120425,2
185,0.00492846,1
185,0.00107304,2
185,0.00286804,-1
185,0.00364233,2
186,0.917297,1
186,0.036725,2
186,0.010014,2
186,0.00147736,2
187,0.929742,1
187,0.00672164,2
187,0.00816836,2
187,0.00293417,2
187,0.0179682,-1
188,0.634182,1
